"REF_DATE","GEO","DGUID","Labour force characteristics","Gender","Age group","Statistics","Data type","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2024-10","Saskatchewan","2021A000247","Part-time employment","Total - Gender","25 to 54 years","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2064460","9.5.1.6.1.1","41.7","","","","1"
"2024-10","Saskatchewan","2021A000247","Unemployment","Total - Gender","25 to 54 years","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2064461","9.6.1.6.1.1","21.3","","","","1"
"2024-10","Saskatchewan","2021A000247","Unemployment rate","Total - Gender","25 to 54 years","Estimate","Seasonally adjusted","Percent","239","units","0","v2064462","9.7.1.6.1.1","5.1","","","","1"
"2024-10","Saskatchewan","2021A000247","Participation rate","Total - Gender","25 to 54 years","Estimate","Seasonally adjusted","Percent","239","units","0","v2064463","9.8.1.6.1.1","89.3","","","","1"
"2024-10","Saskatchewan","2021A000247","Employment rate","Total - Gender","25 to 54 years","Estimate","Seasonally adjusted","Percent","239","units","0","v2064464","9.9.1.6.1.1","84.7","","","","1"
"2024-10","Alberta","2021A000248","Population","Total - Gender","25 to 54 years","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2064645","10.1.1.6.1.1","2094.5","","","","1"
"2024-10","Alberta","2021A000248","Labour force","Total - Gender","25 to 54 years","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2064646","10.2.1.6.1.1","1854.9","","","","1"
"2024-10","Alberta","2021A000248","Employment","Total - Gender","25 to 54 years","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2064647","10.3.1.6.1.1","1735.1","","","","1"
"2024-10","Alberta","2021A000248","Full-time employment","Total - Gender","25 to 54 years","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2064648","10.4.1.6.1.1","1522.0","","","","1"
"2024-10","Alberta","2021A000248","Part-time employment","Total - Gender","25 to 54 years","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2064649","10.5.1.6.1.1","213.1","","","","1"
"2024-10","Alberta","2021A000248","Unemployment","Total - Gender","25 to 54 years","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2064650","10.6.1.6.1.1","119.8","","","","1"
"2024-10","Alberta","2021A000248","Unemployment rate","Total - Gender","25 to 54 years","Estimate","Seasonally adjusted","Percent","239","units","0","v2064651","10.7.1.6.1.1","6.5","","","","1"
"2024-10","Alberta","2021A000248","Participation rate","Total - Gender","25 to 54 years","Estimate","Seasonally adjusted","Percent","239","units","0","v2064652","10.8.1.6.1.1","88.6","","","","1"
"2024-10","Alberta","2021A000248","Employment rate","Total - Gender","25 to 54 years","Estimate","Seasonally adjusted","Percent","239","units","0","v2064653","10.9.1.6.1.1","82.8","","","","1"
"2024-10","British Columbia","2021A000259","Population","Total - Gender","25 to 54 years","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2064834","11.1.1.6.1.1","2347.1","","","","1"
"2024-10","British Columbia","2021A000259","Labour force","Total - Gender","25 to 54 years","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2064835","11.2.1.6.1.1","2042.5","","","","1"
"2024-10","British Columbia","2021A000259","Employment","Total - Gender","25 to 54 years","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2064836","11.3.1.6.1.1","1947.7","","","","1"
"2024-10","British Columbia","2021A000259","Full-time employment","Total - Gender","25 to 54 years","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2064837","11.4.1.6.1.1","1681.5","","","","1"
"2024-10","British Columbia","2021A000259","Part-time employment","Total - Gender","25 to 54 years","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2064838","11.5.1.6.1.1","266.2","","","","1"
"2024-10","British Columbia","2021A000259","Unemployment","Total - Gender","25 to 54 years","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2064839","11.6.1.6.1.1","94.8","","","","1"
"2024-10","British Columbia","2021A000259","Unemployment rate","Total - Gender","25 to 54 years","Estimate","Seasonally adjusted","Percent","239","units","0","v2064840","11.7.1.6.1.1","4.6","","","","1"
"2024-10","British Columbia","2021A000259","Participation rate","Total - Gender","25 to 54 years","Estimate","Seasonally adjusted","Percent","239","units","0","v2064841","11.8.1.6.1.1","87.0","","","","1"
"2024-10","British Columbia","2021A000259","Employment rate","Total - Gender","25 to 54 years","Estimate","Seasonally adjusted","Percent","239","units","0","v2064842","11.9.1.6.1.1","83.0","","","","1"


